col_0,REGION,DATE,DATE_parsed,YEAR,MONTH,DAY,PROFIL_TOTAL,PROFIL_ENT,PROFIL_PRO,PROFIL_RES,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,SUNHOUR,TEMPERATURE_NIGHT_C,TEMPERATURE_MEAN,HOLIDAYS,IS_WEEKEND,IS_LOCKDOWN_1,IS_LOCKDOWN_2,IS_LOCKDOWN_3,IS_LOCKDOWN_TT,IS_PUBLIC_HOLIDAYS
69,Hauts-de-France,2020-02-04T00:00:00.000Z,2020-02-04T00:00:00.000Z,2020,2,4,59730784,1701314,12300806,45728664,6,3,31,4,5,5,8,83,8,1027,65,6,3,0,5,4,5,0,0,1,0,0,1,0
71,Hauts-de-France,2020-02-05T00:00:00.000Z,2020-02-05T00:00:00.000Z,2020,2,5,63733127,1755533,12482432,49495162,8,3,9,4,7,7,0,92,9,1037,45,8,4,1,8,5,5,0,1,1,0,0,1,0
73,Hauts-de-France,2020-02-06T00:00:00.000Z,2020-02-06T00:00:00.000Z,2020,2,6,67020424,1804602,13050071,52165751,9,3,7,3,7,7,0,91,10,1035,13,9,3,2,9,4,5,0,0,0,0,0,0,0
75,Hauts-de-France,2020-02-07T00:00:00.000Z,2020-02-07T00:00:00.000Z,2020,2,7,68077079,1731317,13121495,53224267,8,1,19,1,5,6,0,84,10,1028,5,8,2,-3,9,2,4,0,0,0,0,0,0,0
77,Hauts-de-France,2020-02-08T00:00:00.000Z,2020-02-08T00:00:00.000Z,2020,2,8,64372424,1208441,11517206,51646777,7,5,19,7,7,6,7,95,9,1022,78,7,6,3,4,7,6,0,1,0,0,0,0,0
79,Hauts-de-France,2020-02-09T00:00:00.000Z,2020-02-09T00:00:00.000Z,2020,2,9,62989938,1157572,10245808,51586558,10,4,51,5,8,8,2,86,9,1020,79,11,9,1,5,5,7,0,0,0,0,0,0,0
81,Hauts-de-France,2020-02-10T00:00:00.000Z,2020-02-10T00:00:00.000Z,2020,2,10,59803454,1624301,11606258,46572895,9,3,46,8,7,6,18,80,8,1008,93,10,8,1,4,9,7,0,0,0,0,0,0,0
83,Hauts-de-France,2020-02-11T00:00:00.000Z,2020-02-11T00:00:00.000Z,2020,2,11,62290713,1717712,12485874,48087127,6,3,35,4,6,5,4,72,9,1016,70,6,1,-1,6,4,5,0,0,0,1,0,1,0
85,Hauts-de-France,2020-02-12T00:00:00.000Z,2020-02-12T00:00:00.000Z,2020,2,12,64883698,1735852,12519764,50628082,7,1,26,2,6,5,2,88,9,1019,78,7,2,-3,5,2,4,0,0,0,1,0,1,0
87,Hauts-de-France,2020-02-13T00:00:00.000Z,2020-02-13T00:00:00.000Z,2020,2,13,65761090,1738764,12867549,51154777,8,4,38,5,8,7,17,91,9,1016,91,8,4,-1,5,5,6,0,0,0,0,0,0,0
